 #  926.2257  35.
  12.5  1.0813536E-09  1.73716142E-06  0.000398716649
  13.  1.0813536E-09  1.73716142E-06  0.00126085275
  13.5  1.0813536E-09  1.73716142E-06  0.00398716649
  14.  1.0813536E-09  1.73716142E-06  0.0126085275
  14.5  1.0813536E-09  1.73716142E-06  0.0398716649
  15.  1.0813536E-09  1.73716142E-06  0.126085275
  15.5  1.0813536E-09  1.73716142E-06  0.398716649
  16.  1.0813536E-09  1.73716142E-06  1.26085275
  16.5  1.0813536E-09  1.73716142E-06  3.98716649
  17.  1.0813536E-09  1.73716142E-06  12.6085275
  17.5  1.0813536E-09  1.73716142E-06  39.8716649
  18.  1.0813536E-09  1.73716142E-06  126.085275
  18.5  1.0813536E-09  1.73716142E-06  398.716649
  19.  1.0813536E-09  1.73716142E-06  1260.85275
  19.5  1.0813536E-09  1.73716142E-06  3987.16649
  20.  1.0813536E-09  1.73716142E-06  12608.5275
  20.5  1.0813536E-09  1.73716142E-06  39871.6649
  21.  1.0813536E-09  1.73716142E-06  126085.275
  21.5  1.0813536E-09  1.73716142E-06  398716.649
  22.  1.0813536E-09  1.73716142E-06  1260852.75
