HI_Lya  	  1.21567e+03  4.16400e-01  6.26500e+08  1.00794e+00
HI_Lyb  	  1.02572e+03  7.91400e-02  1.89700e+08  1.00794e+00
HI_Lyg  	  9.72537e+02  2.90100e-02  8.12700e+07  1.00794e+00
HI_Lyd  	  9.49743e+02  1.39500e-02  4.20400e+07  1.00794e+00
HI_Lye  	  9.37803e+02  7.80300e-03  2.45000e+07  1.00794e+00
HI_Lyz  	  9.30748e+02  4.81600e-03  2.45000e+07  1.00794e+00
HI_Lyh  	  9.26226e+02  3.18500e-03  2.45000e+07  1.00794e+00
HI_Lyt  	  9.23150e+02  2.21700e-03  2.45000e+07  1.00794e+00
HI_Lyi  	  9.20963e+02  1.60600e-03  2.45000e+07  1.00794e+00
HI_Lyk  	  9.19351e+02  1.20100e-03  2.45000e+07  1.00794e+00
HI_Lyl  	  9.18129e+02  9.21900e-04  2.45000e+07  1.00794e+00
HI_Lym  	  9.17180e+02  7.23100e-04  2.45000e+07  1.00794e+00
DI_Lya  	  1.21534e+03  4.16500e-01  6.27000e+08  2.01363e+00
DI_Lyb  	  1.02544e+03  7.91600e-02  1.89700e+08  2.01363e+00
DI_Lyg  	  9.72272e+02  2.90100e-02  8.12700e+07  2.01363e+00
DI_Lyd  	  9.49485e+02  1.39500e-02  4.20400e+07  2.01363e+00
DI_Lye  	  9.37548e+02  7.80500e-03  2.45000e+07  2.01363e+00
DI_Lyz  	  9.30495e+02  4.81800e-03  2.45000e+07  2.01363e+00
DI_Lyh  	  9.25974e+02  3.18600e-03  2.45000e+07  2.01363e+00
DI_Lyt  	  9.22899e+02  2.21800e-03  2.45000e+07  2.01363e+00
DI_Lyi  	  9.20713e+02  1.60700e-03  2.45000e+07  2.01363e+00
DI_Lyk  	  9.19101e+02  1.20100e-03  2.45000e+07  2.01363e+00
H2_W1008J01	  1.00855e+03  6.70000e-02  1.20000e+09  2.01363e+00
H2_W985J01	  9.85632e+02  1.00000e-01  1.20000e+09  2.01363e+00
H2_W987J3	  9.87450e+02  2.64000e-02  1.20000e+09  2.01363e+00
LiI_6709b	  6.70978e+03  2.49053e-01  3.70000e+07  6.94100e+00
LiI_6709a	  6.70963e+03  4.98083e-01  3.70000e+07  6.94100e+00
LiI_3233	  3.23357e+03  3.21602e-03  3.70000e+07  6.94100e+00
BeI_1661	  1.66148e+03  9.00544e-03  5.50000e+08  9.01220e+00
BeII_3131b	  3.13197e+03  1.66028e-01  1.10000e+08  9.01220e+00
BeII_3131a	  3.13133e+03  3.32102e-01  1.10000e+08  9.01220e+00
BeI_2349	  2.34933e+03  1.37422e+00  5.50000e+08  9.01220e+00
BI_1825 	  1.82589e+03  1.70030e-01  2.20000e+08  1.08110e+01
BII_1362	  1.36246e+03  9.96954e-01  1.20000e+09  1.08110e+01
BI_2497 	  2.49751e+03  7.82514e-02  2.50000e+08  1.08110e+01
BIII_2067	  2.06790e+03  1.21191e-01  1.90000e+08  1.08110e+01
BIII_2066	  2.06644e+03  2.42537e-01  1.90000e+08  1.08110e+01
CI_1328 	  1.32883e+03  7.57756e-02  2.90000e+08  1.20110e+01
CI*_1560	  1.56068e+03  5.80344e-02  1.50000e+08  1.20110e+01
CI_1656 	  1.65693e+03  1.48832e-01  3.60000e+08  1.20110e+01
CI_1560 	  1.56031e+03  7.74086e-02  1.30000e+08  1.20110e+01
CI*_945 	  9.45338e+02  1.52223e-01  1.50000e+08  1.20110e+01
CI_945  	  9.45191e+02  1.52223e-01  3.40000e+08  1.20110e+01
CI*_1656	  1.65627e+03  6.20680e-02  1.50000e+08  1.20110e+01
CII_1334	  1.33453e+03  1.28431e-01  2.90000e+08  1.20110e+01
CI_1193 	  1.19303e+03  4.08647e-02  6.00000e+07  1.20110e+01
CII_1036	  1.03634e+03  1.18168e-01  2.20000e+09  1.20110e+01
CIV_1548	  1.54820e+03  1.89746e-01  2.60000e+08  1.20110e+01
CII*_1037	  1.03702e+03  1.18090e-01  2.20000e+09  1.20110e+01
CII*_1335	  1.33571e+03  1.11452e-01  2.90000e+08  1.20110e+01
CIV_1550	  1.55078e+03  9.47217e-02  2.60000e+08  1.20110e+01
CI_1277 	  1.27725e+03  8.52561e-02  2.30000e+08  1.20110e+01
CI_1260 	  1.26074e+03  5.07430e-02  2.40000e+08  1.20110e+01
CIII_977	  9.77020e+02  7.57001e-01  1.80000e+09  1.20110e+01
CI_1280 	  1.28014e+03  2.62872e-02  1.10000e+08  1.20110e+01
NV_1238 	  1.23882e+03  1.55952e-01  3.40000e+08  1.40067e+01
NV_1242 	  1.24280e+03  7.77316e-02  3.40000e+08  1.40067e+01
NIII_989	  9.89799e+02  1.22870e-01  5.00000e+08  1.40067e+01
NII_1083	  1.08399e+03  1.10660e-01  3.89000e+08  1.40067e+01
NI_952a 	  9.52303e+02  2.29000e-03  1.50000e+08  1.40067e+01
NI_952b 	  9.52415e+02  1.97000e-03  1.50000e+08  1.40067e+01
NI_953a 	  9.53415e+02  1.29300e-02  1.50000e+08  1.40067e+01
NI_953b 	  9.53655e+02  2.46900e-02  1.50000e+08  1.40067e+01
NI_953c 	  9.53970e+02  3.30700e-02  1.50000e+08  1.40067e+01
NI_954  	  9.54104e+02  4.00000e-03  1.50000e+08  1.40067e+01
NI_963  	  9.63990e+02  1.24100e-02  1.50000e+08  1.40067e+01
